Municipality,NYSERDA_1A_Benchmarking,NYSERDA_1B_BuildReady,NYSERDA_1C_RenewableEnergy,NYSERDA_1D_BuildingDemo,NYSERDA_1E_LEDStreetlights,NYSERDA_1F_ThermalNetworks,NYSERDA_1G_CommunityCampaigns,NYSERDA_1H_Trainings,NYSERDA_1I_CodeTraining,NYSERDA_1J_CSC_Certification,NYSERDA_1K_CCA,NYSERDA_1L_GreenFinancing,NYSERDA_1M_CleanFleets,NYSERDA_1N_ElectricLandscaping,NYSERDA_1O_FleetInventory,NYSERDA_1P_SolarPermit,NYSERDA_1Q_Designation,NYSERDA_1R_StarDesignation,CSC_2_Designation,CLIMATE_3A_FormalPlan,CLIMATE_3B_InformalPlan,CLIMATE_3C_PlanUpdated,CLIMATE_3E_EnvironmentalJustice,CLIMATE_3G_EnergyPlan,CLIMATE_3H_CodeClimate,CLIMATE_3I_CodeRenewables,CLIMATE_3J_RenewableMoratorium,CLIMATE_3K_EVCode,SCHOOL_4A_CollegeEnvPrograms,SCHOOL_4B_CollegeCleanEnergy,SCHOOL_4C_CollegeEnvCourses,SCHOOL_4D_TotalColleges,SCHOOL_4E_HS_EnvPrograms,SCHOOL_4F_HS_CleanEnergy,SCHOOL_4H_TotalHighSchools,GOV_5A_ClimateCommittee,GOV_5B_EnvironmentalCommittee,GOV_5C_SustainabilityOffice,GOV_5D_SustainabilityCoordinator,ENERGY_6A_GHGInventory,ENERGY_6B_GovOnlyInventory,ENERGY_6C_Benchmarking,ENERGY_6D_EnergyCode,ENERGY_6E_EfficiencyIncentives,ENERGY_6I_LargeSolar,ENERGY_6J_WindProjects,ENERGY_6L_PACE,ENERGY_6N_RenewableGoal,ENERGY_6O_RenewableIncentives,BUILD_7A_GovLEED,BUILD_7C_TotalLEED,BUILD_7E_LEEDPolicy,BUILD_7F_LEEDIncentives,BUILD_7I_HeatPumpIncentives,EV_8C_GovChargers,EV_8D_TotalEVs,EV_8F_PublicChargers,EV_8G_EVAdoptionGoal,EV_8H_EVIncentives,EV_8I_TransitLines,EV_8J_TransitUsers,GREEN_9A_SustainabilityCommittee,GREEN_9B_SustainabilityPrograms,GREEN_9C_GreenJobsPrograms,GREEN_9E_GreenIncentives,GREEN_9F_NGOCount,GREEN_9H_ClimateEvents,POLICY_10B_FinancialSupport,POLICY_10D_CouncilMembers,WORK_11A_TradeUnions,WORK_11H_CommunityProjects,WORK_11I_HousingShelters,WORK_11K_WorkforceIncentives,WORK_11L_YouthEmploymentPrograms,WORK_11M_WorkforceProgram,WORK_11N_WorkforcePlan,HOUSING_12B_RemediationBusinesses,HOUSING_12C_HomesNeedRoofRepair,HOUSING_12E_FoodPantries,HOUSING_12F_LegalRentals,HOUSING_12G_EBTAcceptingMarkets,HOUSING_12H_RepairCafes,HOUSING_12I_HousingEvents,HOUSING_12J_Section8Homes,NYSERDA_Total,Climate Smart Community Status,Climate Action Plan Status,Renewable Energy Goal Status,Public EV Chargers,Public Transportation Lines,"Environmental, Climate, and Sustainability NGO Count"
Babylon,0,0,0,0,700,0,0,0,200,600,0,0,0,0,100,200,Participating,2 star,bronze,No,No,N/A,Yes,Yes,No,Yes,Yes,Yes,0,0,0,0,7,7,8,Yes,Yes,Yes,Yes,Yes,Community,No,Both,Yes,Yes,No,Yes,No,Yes,0,1,Both,Yes,No,10,177935,20,No goal,No,6,0.078,Yes,Yes,Yes,Yes,3,Yes,Yes,0,29,30,31,1,10,Yes,Yes,13,N/A,16,1166,119,Yes,Yes,881,1800,bronze,No,No,20,6,3
Brookhaven,0,0,0,0,700,0,0,0,0,0,0,0,100,0,0,200,Participating,No stars,registered,No,Yes,N/A,Yes,Yes,No,Yes,No,No,2,2,2,3,6,1,12,No,No,Yes,No,Yes,Community,No,Both,Yes,Yes,Yes,No,Government Only,Yes,17,11,No goal,Yes,No,10,9865,121,Both,No,53,0.021,No,Yes,Yes,Yes,4,Yes,Yes,6,9,5,4,3,2,Yes,No,4,132,281,3934,111,Yes,Yes,873,1000,registered,No,Government Only,121,53,4
City of Glen Cove,100,0,0,0,900,0,0,0,200,0,0,0,100,0,0,200,Participating,1 star,registered,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,0,0,0,1,1,1,1,No,No,No,No,Yes,Community,Yes,Community,Yes,No,No,Yes,Yes,Yes,N/A,2,No goal,No,No,2,643,28,Both,No,4,0.0941,Yes,Yes,Yes,Yes,5,Yes,Yes,6,1,12,1,3,1,Yes,Yes,8,N/A,1,4898,19,No,Yes,282,1500,registered,Yes,Yes,28,4,5
City of Long Beach,300,0,0,0,700,0,0,0,0,600,0,0,0,0,0,200,designated,2 star,bronze,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,0,0,0,1,1,1,2,Yes,Yes,Yes,Yes,Yes,Community,Yes,Community,Yes,No,Yes,Yes,Yes,Yes,1,2,No goal,Yes,Yes,119,543,4,Both,Yes,6,0.15,Yes,Yes,Yes,No,4,Yes,Yes,4,4,10,5,N/A,6,Yes,Yes,1,12000,1,11000,31,Yes,Yes,400,1800,bronze,Yes,Yes,4,6,4
East Hampton,300,0,0,0,900,0,500,0,200,600,0,0,100,0,0,200,designated,4 stars,bronze,Yes,No,No,No,Yes,Yes,Yes,No,Yes,0,0,0,0,2,2,2,Yes,Yes,Yes,No,Yes,Community,Yes,Both,Yes,Yes,Yes,No,Yes,Yes,N/A,1,No goal,No,Yes,22,1070,58,Government Only,No,4,0.04,Yes,Yes,Yes,Yes,18,Yes,Yes,4,5,98,1,2,0,No,Yes,0,N/A,4,168,9,No,Yes,580,2800,bronze,Yes,Yes,58,4,18
Hempstead,0,0,0,0,700,0,0,0,0,0,0,0,100,0,0,200,not participating,No stars,registered,Yes,No,No,No,No,No,Yes,Yes,Yes,2,1,1,2,2,3,7,No,No,Yes,No,Yes,Goverment operations,No,Community,No,Yes,Yes,No,Government Only,No,5,5,No goal,No,No,4,14481,200,No goal,No,5,0.19,No,No,No,Yes,14,Yes,Yes,6,0,4,5,2,5,Yes,No,21,N/A,42,N/A,402,Yes,Yes,475,1000,registered,Yes,Government Only,200,5,14
Huntington,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,200,designated,1 star,bronze,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,0,0,0,2,9,9,9,Yes,Yes,Yes,No,Yes,Community,No,Both,Yes,No,No,Yes,Yes,Yes,1,2,Community,Yes,No,5,7284,23,Government Only,Yes,5,0.091,Yes,Yes,Yes,Yes,4,Yes,Yes,4,5,20,3,2,0,Yes,Yes,4,N/A,10,399,18,1,Yes,573,300,bronze,Yes,Yes,23,5,4
Islip,100,0,0,0,0,0,0,0,200,0,0,0,100,0,0,200,designated,1 star,registered,No,No,N/A,No,Yes,Yes,Yes,No,Yes,0,1,0,3,10,7,10,Yes,Yes,Yes,Yes,No,N/A,Yes,Community,No,Yes,No,Yes,No goal,Yes,1,5,Community,Yes,No,0,5224,112,No goal,No,10,0.045,No,No,No,Yes,4,Yes,Yes,4,9,5,6,5,2,Yes,Yes,26,N/A,55,21735,111,No,Yes,352,600,registered,No,No goal,112,10,4
North Hempstead,300,0,0,0,0,0,0,0,200,0,0,0,100,0,0,0,Participating,1 star,bronze,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,0,0,0,1,6,4,7,Yes,No,Yes,Yes,Yes,Community,Yes,Both,Yes,Yes,No,Yes,Yes,Yes,1,1,No goal,No,No,8,10517,84,Community,No,41,0.15,Yes,Yes,Yes,Yes,6,No,Yes,6,3,104,7,0,10,Yes,No,N/A,4000,3,18000,44,No,Yes,390,600,bronze,Yes,Yes,84,41,6
Oyster Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not participating,No stars,registered,No,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,3,2,3,6,16,16,16,No,No,No,No,No,N/A,Yes,No goal,Yes,No,No,Yes,No,No,0,1,No goal,No,No,4,10818,34,Both,Yes,11,0.1,Yes,Yes,Yes,No,3,Yes,Yes,6,7,11,0,2,3,Yes,No,10,N/A,2,76,14,No,Yes,911,0,registered,No,No,34,11,3
Riverhead,300,0,0,0,900,0,0,0,200,0,0,0,0,0,0,200,designated,1 star,bronze,Yes,No,No,Yes,Yes,No,Yes,No,Yes,1,1,1,2,2,1,2,Yes,Yes,No,No,Yes,Goverment operations,Yes,No goal,Yes,Yes,No,Yes,Yes,Yes,N/A,1,Both,No,No,14,933,90,Both,No,2,360,Yes,Yes,Yes,Yes,5,Yes,Yes,4,3,8,5,4,4,No,No,2,N/A,14,1700,9,Yes,7,200,1600,bronze,Yes,Yes,90,2,5
Shelter Island,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,200,designated,1 star,Not participating,No,Yes,N/A,Yes,Yes,Yes,Yes,No,Yes,0,0,0,0,1,1,1,Yes,No,No,No,Yes,Community,Yes,Community,Yes,No,No,Yes,No,Yes,0,0,No goal,No,No,2,123,20,Both,No,0,0,No,Yes,No,Yes,1,Yes,Yes,4,22,1,4,7,0,No,No,0,N/A,1,224,1,No,8,0,400,Not participating,No,No,20,0,1
Smithtown,0,0,0,0,700,0,0,0,0,0,0,0,100,0,0,200,designated,1 star,registered,No,No,N/A,Yes,No,Yes,Yes,Yes,Yes,0,0,0,0,4,4,4,No,Yes,Yes,No,No,Community,Yes,No goal,Yes,Yes,Yes,Yes,Yes,No,0,1,No goal,No,No,2,3781,176,No goal,No,3,0.05,No,Yes,Yes,Yes,5,No,Yes,4,37,4,3,0,0,No,No,0,N/A,2,900,7,No,7,0,1000,registered,No,Yes,176,3,5
Southampton,0,0,0,0,700,0,2000,0,200,600,0,0,100,0,0,200,Participating,5 stars,bronze,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,1,1,1,1,3,2,3,Yes,Yes,Yes,Yes,Yes,Community,Yes,Both,Yes,Yes,Yes,Yes,Yes,Yes,0,7,Government Only,Yes,No,6,2400,94,No goal,Yes,4,0.11,Yes,Yes,Yes,Yes,8,No,Yes,4,11,23,1,4,4,Yes,No,0,N/A,11,1000,6,1,Yes,326,3800,bronze,Yes,Yes,94,4,8
Southold,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,200,designated,1 star,registered,No,Yes,N/A,No,Yes,No,Yes,Yes,No,0,0,0,0,1,1,3,Yes,Yes,No,No,No,Community,Yes,No goal,No,Yes,No,Yes,No,No,0,1,Government Only,Yes,No,6,653,18,No goal,No,3,0.01,No,Yes,Yes,Yes,7,Yes,Yes,4,7,8,3,2,0,No,No,0,N/A,3,459,2,0,3,370,400,registered,No,No,18,3,7
